0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,5,0,0,35,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,3,0,3,2,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,4,0,9
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,7,6,4,4,1,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,11,11,6,3,0,3,1
0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,3,2,14,12,1,2,1,4,0
0,0,0,0,0,0,5,7,0,0,0,0,0,3,0,0,18,2,3,3,0,3,2,12
0,0,0,0,0,0,4,1,0,0,2,2,0,7,7,16,0,5,0,0,6,0,9,0
3,7,0,0,0,0,3,1,0,3,4,4,4,20,1,6,1,0,0,0,0,9,2,0
0,2,0,10,0,4,0,7,0,4,6,10,25,0,0,7,2,0,0,0,2,0,6,2
1,1,1,0,2,4,7,5,0,10,2,8,23,0,0,11,0,0,0,4,0,0,3,1
0,0,3,1,0,4,1,6,17,1,44,12,17,1,1,9,0,0,6,5,6,0,4,1
0,5,0,1,0,3,1,1,33,4,0,0,16,6,2,21,2,20,0,5,0,3,0,0
0,0,0,0,0,6,0,1,31,1,1,0,16,3,3,35,1,19,0,7,0,7,0,0
0,0,0,0,0,6,0,0,28,1,0,2,8,2,3,40,3,9,0,5,0,5,1,0
0,3,0,0,1,4,0,0,29,4,1,3,13,1,1,51,5,11,0,2,1,3,3,0
0,0,0,0,0,0,0,0,32,0,16,5,24,0,0,36,4,12,0,7,2,5,1,1
0,0,0,0,0,0,0,0,25,0,0,12,22,4,0,31,0,18,0,7,0,6,0,0
0,0,0,0,0,0,0,0,19,0,7,0,24,0,0,29,0,14,0,3,0,0,5,4
0,0,0,0,0,0,0,0,16,0,6,0,23,0,1,7,20,2,6,0,0,0,2,0
0,0,0,0,0,0,0,0,14,0,5,0,15,0,0,0,28,3,5,0,0,0,4,0
