0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,0,0,29,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,6,5,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,19,6,3,11
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,3,4,9,5,1,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,9,5,2,2,0,2,0
0,0,0,0,0,5,1,0,0,0,0,0,0,0,6,3,3,10,11,3,1,0,3,0
0,0,0,0,0,0,8,0,0,0,0,0,0,4,1,0,17,0,6,1,1,1,1,7
0,0,0,0,0,0,5,4,0,2,3,5,0,11,8,14,3,3,0,0,7,0,8,0
7,3,0,0,1,0,7,2,0,6,3,3,5,22,0,0,0,0,0,0,0,12,2,0
2,4,1,5,1,0,1,12,0,10,4,16,25,0,0,8,0,0,0,0,1,0,6,1
4,2,2,3,1,4,6,6,1,17,3,11,11,1,0,10,0,0,1,12,0,0,1,0
5,0,3,0,3,3,1,7,15,4,34,13,10,1,5,8,1,0,8,4,8,0,1,2
4,1,0,0,0,5,0,3,37,2,1,0,8,5,5,12,2,31,2,8,0,2,0,0
2,1,0,0,0,5,0,1,33,1,0,1,12,0,4,25,2,19,0,6,0,4,0,0
0,1,0,0,0,4,0,0,31,1,0,5,12,0,6,27,2,8,0,8,0,3,0,0
0,3,0,0,2,9,0,0,39,4,0,5,9,0,1,34,2,10,0,8,0,6,1,0
0,0,0,0,0,0,0,0,28,0,13,2,12,1,1,27,1,10,0,7,2,10,2,1
0,0,0,0,0,0,0,0,27,0,0,7,18,1,1,25,0,16,0,7,0,13,0,0
0,0,0,0,0,0,0,0,27,1,5,2,14,0,0,20,0,12,0,3,0,0,5,0
0,0,0,0,0,0,0,0,23,0,9,0,14,0,1,5,21,4,5,0,0,0,5,1
0,0,0,0,0,0,0,0,20,0,7,0,9,0,0,1,25,4,4,0,0,0,4,0
