0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,5,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,38,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,0,6,2,17
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,11,6,2,17
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,3,3,6,4,8,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,11,13,3,5,1,3,0
0,0,0,0,1,4,2,0,0,0,0,0,0,0,8,3,2,18,16,4,1,3,1,0
0,0,0,0,0,1,7,5,0,0,0,0,0,3,0,1,22,0,1,2,1,1,2,9
0,0,0,0,0,1,4,6,0,1,0,4,0,12,5,16,3,5,0,0,6,0,13,0
2,3,0,0,0,1,5,2,0,4,3,7,2,15,2,1,3,0,0,0,2,5,5,0
1,0,1,8,0,4,0,9,0,10,5,9,30,0,0,13,1,0,0,0,3,1,4,2
5,3,1,2,0,4,2,11,0,16,5,11,22,1,0,13,0,0,0,4,0,0,2,0
6,0,0,1,0,5,1,10,17,0,38,15,21,0,3,10,0,0,6,2,6,0,1,1
1,1,0,1,0,4,0,2,49,4,1,0,16,5,2,18,1,25,0,5,0,2,0,0
5,0,0,0,0,5,0,1,37,2,0,1,17,3,0,25,3,19,0,4,0,2,0,0
0,0,0,0,0,4,0,0,39,2,0,4,16,1,2,30,4,7,0,9,0,2,0,0
0,3,0,0,2,16,0,0,39,1,0,1,16,0,0,39,3,5,0,9,0,1,2,0
0,0,0,0,0,0,0,0,33,1,17,0,17,0,1,32,4,9,0,10,1,7,3,0
0,0,0,0,0,0,0,0,29,0,0,6,18,2,1,30,0,16,0,5,0,8,0,0
0,0,0,0,0,0,0,0,27,0,8,0,16,0,0,30,0,5,0,0,0,0,8,3
0,0,0,0,0,0,0,0,27,0,9,0,9,0,2,6,30,5,1,0,0,0,7,0
0,0,0,0,0,0,0,0,25,0,7,0,8,0,1,2,31,3,0,0,0,0,4,0
