0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,10,14
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,16,18,5,2
0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,5,8,18,1,1
0,2,1,1,5,2,0,1,0,0,0,0,0,1,0,0,0,15,4,15,4,0,10,5
2,0,0,0,0,6,3,0,0,0,0,0,0,0,1,1,1,0,32,8,2,1,3,1
0,0,0,0,0,0,5,2,0,0,0,0,0,0,8,1,3,19,1,17,1,2,2,0
0,0,0,0,0,0,0,4,2,3,2,2,3,9,6,0,30,4,0,1,4,0,0,3
3,5,0,0,0,0,0,1,5,3,4,5,5,8,20,36,0,1,1,1,1,5,1,0
0,3,3,12,0,1,7,1,1,1,6,7,12,24,0,1,0,0,0,0,8,2,3,1
0,4,2,4,17,22,5,3,20,15,20,17,54,12,3,4,6,4,2,0,3,0,0,1
0,0,0,3,1,1,0,25,25,24,43,3,4,6,3,2,0,0,1,1,0,1,2,2
3,0,2,5,3,4,2,4,10,32,1,39,36,43,23,31,16,13,14,11,3,0,0,0
6,2,0,0,1,1,0,0,13,1,1,0,0,1,4,0,0,1,0,0,1,0,0,0
0,4,0,0,0,0,1,0,1,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,4,0,0,0,6,3,1,3,6,3,8,2,3,0,0,4,5,2,1
0,0,6,6,5,9,14,13,14,16,8,0,0,1,0,0,1,2,0,0,15,12,5,2
0,0,0,0,0,0,0,0,0,0,0,10,11,9,7,12,14,18,18,18,3,1,1,1
0,0,0,0,0,0,0,0,0,6,5,5,8,4,2,0,0,0,0,0,0,0,7,1
0,0,0,0,0,0,0,0,0,0,0,7,3,16,11,16,21,8,7,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,5,0,4,14,2,0,0
0,0,0,0,0,0,0,0,0,0,2,0,14,3,1,4,14,3,1,0,0,0,0,1
