0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,8,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,20,11
0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,2,1,2,13,15,5,3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,3,13,13,0,1
0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,6,0,16,2,0,1,0
1,0,0,0,0,6,3,0,0,0,0,0,0,0,0,3,0,0,21,5,6,0,1,7
0,0,0,0,0,0,7,1,0,0,0,0,0,0,8,0,2,15,0,4,0,5,1,0
0,0,0,0,0,0,1,5,3,3,1,4,5,7,5,0,28,3,2,1,7,4,0,4
4,2,0,0,0,0,0,1,2,4,3,4,5,5,16,28,0,1,2,1,1,2,2,0
1,3,3,2,0,1,7,8,0,6,5,5,3,32,0,0,0,0,0,0,3,2,4,1
0,0,2,5,8,20,7,2,13,14,24,21,79,6,3,2,2,2,1,0,2,0,0,2
0,0,2,0,1,0,0,25,24,27,36,2,3,4,1,2,0,0,1,7,0,3,4,1
0,1,6,7,10,10,5,6,9,38,1,40,33,42,28,22,12,12,14,9,6,2,0,0
1,2,1,2,1,2,2,2,6,1,0,0,0,0,1,0,0,0,0,0,1,3,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,2,2,2,4,9,9,12,2,1,0,0,4,5,3,0
0,1,2,2,1,10,12,11,10,15,11,0,0,0,0,1,0,1,0,0,20,18,8,1
0,0,0,0,0,0,0,0,0,0,0,10,15,12,7,10,21,30,22,31,0,2,0,2
0,0,0,0,0,0,0,0,0,3,5,6,9,1,0,0,0,0,2,0,0,0,11,0
0,0,0,0,0,0,0,0,0,2,2,3,2,15,15,15,33,12,5,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,4,6,11,2,0,0
0,0,0,0,0,0,0,0,0,0,1,0,17,2,2,2,10,0,0,0,0,0,0,0
