0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,1,16
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,0,14,20
0,0,0,0,0,1,1,0,0,0,3,2,0,0,0,1,0,0,2,0,8,16,10,1
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,7,4,11,20,0,2
0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,9,5,17,4,0,3,2
0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,2,0,1,30,7,8,3,1,4
0,0,0,0,0,0,4,1,0,0,0,0,0,0,9,0,2,20,1,8,0,5,0,0
0,0,0,0,0,0,1,8,8,8,10,8,5,7,3,0,36,7,2,0,0,1,0,1
1,2,0,0,0,0,0,1,6,5,12,6,6,4,21,31,0,2,2,1,0,4,1,0
3,2,3,5,0,1,5,5,3,4,4,5,5,17,0,0,0,0,0,0,4,2,4,2
0,3,2,1,7,12,6,5,20,20,22,17,62,11,9,4,9,0,0,0,1,0,0,1
0,0,0,0,5,6,0,20,35,37,53,6,1,3,0,5,0,0,0,2,0,3,5,1
2,0,3,6,6,6,4,2,8,36,0,47,41,48,26,19,13,14,19,11,6,2,0,0
2,0,0,0,0,3,1,0,6,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0
0,2,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,1,0
0,0,0,0,0,4,0,0,0,4,4,7,4,5,5,3,1,0,0,0,2,0,0,0
0,0,5,3,4,12,11,12,11,22,19,0,1,3,1,3,1,2,0,0,13,14,3,1
0,0,0,0,0,0,0,0,0,0,1,19,16,13,4,10,23,25,27,32,2,3,1,0
0,0,0,0,0,0,0,0,0,3,2,3,3,2,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,1,2,10,16,16,15,8,4,4,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,7,2,4,14,3,0,0
0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,6,1,4,0,0,0,0,0
