0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,0,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,12,12
0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,1,7,14,7,0
0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,3,1,14,11,0,2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,3,13,1,0,5,1
0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,1,3,33,8,2,4,4,3
0,0,0,0,0,0,4,3,0,0,0,0,0,0,2,0,3,10,4,10,1,1,2,0
0,0,0,0,0,0,0,6,2,2,3,8,8,9,9,0,18,3,1,1,2,3,0,2
2,3,0,0,0,0,0,1,3,5,6,8,9,10,11,22,1,0,0,0,0,5,2,0
0,0,4,7,1,0,6,5,4,8,6,7,4,14,0,0,0,0,0,0,3,2,4,3
0,1,2,5,10,12,8,0,15,13,18,16,63,7,6,5,3,2,2,1,0,0,0,2
0,0,1,2,0,2,0,16,21,25,35,6,6,5,1,3,0,0,0,3,0,11,7,3
0,0,0,2,7,4,8,9,17,21,0,32,39,54,32,31,17,19,25,19,11,2,0,0
3,1,0,0,0,1,1,2,3,1,3,0,0,0,3,0,1,1,0,0,0,0,0,0
0,1,0,0,1,2,0,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,1,3,0,0,0,2,0,0,4,10,3,4,2,3,0,0,5,6,1,0
0,0,3,6,5,10,15,13,13,18,9,0,1,3,0,2,2,1,0,0,17,15,9,1
0,0,0,0,0,0,0,0,0,0,0,12,20,16,9,16,26,36,24,26,1,2,0,2
0,0,0,0,0,0,0,0,0,4,4,3,9,5,0,0,0,0,2,0,0,0,9,2
0,0,0,0,0,0,0,0,0,1,2,3,0,14,12,10,16,7,2,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,2,2,5,18,2,2,0
0,0,0,0,0,0,0,0,0,0,1,0,11,1,0,1,21,2,4,0,0,0,0,0
