0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,3,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,5,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,38,9
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,8,2,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,39,1,3,3
0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,11,4,18,5,3,1,0
2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,22,2,3,0,0,2
0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,3,0,28,22,0,2,0,1,0
0,0,0,0,0,1,4,2,0,0,0,0,0,4,0,0,50,2,2,1,0,3,1,3
0,0,0,0,0,1,7,6,2,0,1,0,0,11,7,43,1,4,1,0,7,0,2,0
1,3,0,0,2,0,4,4,0,8,2,3,0,31,0,17,0,1,0,1,0,8,2,0
0,2,0,3,3,5,0,4,1,13,5,12,24,0,0,32,2,0,0,2,1,0,8,0
5,4,0,1,0,5,10,14,2,26,3,32,49,1,3,33,0,0,0,2,0,0,4,0
5,0,2,1,1,4,2,15,2,25,29,32,28,0,2,27,0,0,7,3,6,0,7,0
0,0,0,1,0,3,1,9,49,5,0,1,44,4,4,27,2,3,0,8,1,0,0,0
4,0,0,0,1,4,0,2,38,0,1,0,40,1,0,35,2,3,0,8,0,9,0,0
0,1,0,0,0,6,0,0,43,1,1,2,25,0,2,34,1,2,0,6,0,6,0,1
0,3,0,0,6,11,0,0,34,2,0,1,23,0,0,31,0,1,0,6,0,8,0,0
0,0,0,0,0,0,0,0,42,1,4,2,22,0,0,20,0,2,0,27,0,11,1,0
0,0,0,0,0,0,0,0,40,0,0,4,17,3,4,24,0,4,0,5,0,10,0,0
0,0,0,0,0,0,0,0,32,0,1,1,15,5,0,18,0,5,0,3,0,0,9,0
0,0,0,0,0,0,0,0,28,0,5,0,16,0,1,0,21,0,2,0,0,0,5,0
0,0,0,0,0,0,0,0,39,0,6,0,15,0,0,2,23,0,2,0,0,0,5,0
0,0,0,0,0,0,0,0,44,5,0,15,2,0,3,13,16,4,0,0,0,0,11,0
