0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,4,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,1,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,30,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,4,3,10,4,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,3,24,3,2,5
0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,7,0,13,6,1,3,0
1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,3,13,0,0,1,0,0
0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,4,0,17,11,1,1,2,4,0
0,0,0,0,0,1,8,0,0,0,0,0,0,11,0,1,35,1,1,2,1,1,2,2
0,0,0,0,0,1,7,4,0,0,0,1,0,22,8,28,1,2,0,0,7,0,5,0
0,3,0,0,1,0,4,3,0,5,3,5,0,39,0,12,0,0,0,0,0,7,3,0
3,1,0,2,2,5,0,2,4,9,8,8,37,2,0,21,0,0,0,3,2,0,5,0
2,1,1,1,0,2,11,18,5,26,3,34,52,1,1,24,0,0,0,7,0,0,4,0
1,1,4,2,0,5,3,12,5,25,15,40,33,0,5,20,0,0,10,1,4,0,4,0
2,3,1,0,1,6,1,7,49,6,0,3,49,0,4,37,0,3,1,8,0,0,0,0
2,0,0,0,1,7,0,0,42,0,0,1,44,0,3,49,0,11,0,5,1,4,0,0
0,0,0,0,0,6,0,0,38,0,0,4,27,1,2,50,1,3,0,4,1,4,0,0
0,0,0,0,1,8,0,0,35,0,0,3,38,0,0,41,0,4,0,4,2,4,0,1
0,0,0,0,0,0,0,0,35,0,2,0,34,0,0,30,0,6,0,28,0,5,0,2
0,0,0,0,0,0,0,0,34,0,0,4,31,0,1,19,0,5,2,6,0,5,0,0
0,0,0,0,0,0,0,0,33,0,0,1,27,5,0,20,0,11,0,2,0,0,6,1
0,0,0,0,0,0,0,0,40,0,3,0,24,0,2,0,11,0,3,0,0,0,5,0
0,0,0,0,0,0,0,0,46,0,1,0,15,0,1,2,19,0,2,0,0,0,5,0
0,0,0,0,0,0,0,0,45,1,0,15,2,0,0,11,12,1,0,0,0,0,8,0
