0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,35,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,6,1,5,3,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,25,4,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,12,3,2,1,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,14,1,1,0,2,1
0,0,0,0,1,5,0,0,0,0,0,0,0,0,3,2,3,13,15,2,4,3,4,0
0,0,0,0,0,0,9,0,0,0,0,0,0,12,0,0,35,2,4,0,2,3,0,6
0,0,0,0,0,0,9,7,2,1,0,1,0,19,13,28,2,5,0,0,7,0,4,0
0,2,0,0,0,1,7,2,0,10,3,5,2,34,0,13,0,0,0,0,1,8,0,0
2,0,0,8,2,7,0,5,3,19,6,6,36,1,0,24,0,0,1,3,2,0,5,1
3,1,2,0,0,3,6,13,2,31,1,34,49,1,1,28,0,0,0,1,0,0,3,0
4,0,2,1,1,3,2,10,2,24,18,31,34,2,2,21,0,0,10,1,3,0,3,0
0,1,0,0,0,3,0,9,63,9,0,1,43,3,5,32,2,3,0,4,0,0,0,0
2,0,0,0,1,3,0,1,45,0,1,0,32,2,2,37,7,24,0,3,2,3,0,0
0,3,0,0,0,6,0,0,44,0,0,6,19,3,4,36,2,8,0,6,2,4,0,0
0,4,0,0,10,9,0,0,42,0,0,4,20,0,0,31,2,6,0,5,0,5,0,0
0,0,0,0,0,0,0,0,57,0,1,5,21,0,2,23,1,4,0,19,0,5,0,2
0,0,0,0,0,0,0,0,46,0,0,2,15,3,5,16,0,5,0,5,0,8,0,0
0,0,0,0,0,0,0,0,34,0,0,3,18,2,0,15,0,5,0,2,0,0,5,1
0,0,0,0,0,0,0,0,37,0,5,0,17,0,2,0,19,1,3,0,0,0,11,0
0,0,0,0,0,0,0,0,45,0,2,0,20,0,0,4,20,0,4,0,0,0,7,0
0,0,0,0,0,0,0,0,55,2,0,16,2,0,1,9,12,7,0,0,0,0,8,0
