0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,8,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,0,0,34,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0,11,7,12
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,4,3,5,23,7,2,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,12,7,3,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,19,0,1,1,2,0
0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,5,4,19,10,4,0,5,4,0
0,0,0,0,0,1,5,3,0,0,0,0,0,8,0,2,36,0,1,2,0,0,4,3
0,0,0,0,0,0,8,6,0,4,0,1,0,11,9,31,2,1,0,1,8,0,5,0
1,2,1,0,1,1,7,5,0,11,2,7,0,35,0,10,0,0,0,0,0,9,5,0
3,1,1,4,1,6,0,4,1,12,4,6,27,1,0,18,1,0,0,1,0,0,12,0
5,1,0,0,1,6,10,15,5,25,2,41,47,1,0,23,0,0,0,3,0,0,8,0
5,0,2,1,0,5,1,10,2,29,21,37,28,0,5,22,0,0,7,2,3,0,8,1
0,1,0,0,0,6,0,4,40,6,0,3,48,2,2,26,1,5,0,8,0,0,0,0
2,1,0,0,2,6,0,1,26,0,2,0,30,0,0,25,2,14,0,7,0,11,0,0
0,3,0,0,0,12,0,0,27,0,0,3,26,0,4,28,0,3,0,7,0,9,1,0
0,3,0,0,3,14,0,0,23,1,0,0,23,1,0,30,1,2,0,6,0,9,1,0
0,0,0,0,0,0,0,0,20,0,3,0,25,0,0,20,0,5,0,23,0,10,2,0
0,0,0,0,0,0,0,0,26,0,0,0,22,2,3,21,0,5,0,3,0,9,0,0
0,0,0,0,0,0,0,0,19,0,0,0,20,2,0,22,1,11,1,2,0,0,9,1
0,0,0,0,0,0,0,0,13,0,0,0,22,0,2,0,21,1,2,0,0,0,17,0
0,0,0,0,0,0,0,0,18,0,1,0,17,0,0,0,19,1,2,0,0,0,18,0
0,0,0,0,0,0,0,0,25,1,0,16,2,0,0,9,12,5,0,0,0,0,20,0
