0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,20,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,14,7,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,21,3,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,19,3,3,0,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,18,5,1,0,0,0
0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,3,0,20,12,1,3,1,2,0
0,0,0,0,0,2,7,3,0,0,0,0,0,4,0,0,29,1,3,3,4,2,1,2
0,0,0,0,0,3,7,5,0,2,1,1,0,20,4,25,0,2,0,1,7,1,1,0
1,2,0,0,0,0,8,3,0,13,3,5,0,42,0,15,3,0,0,0,1,9,1,0
0,5,0,6,2,8,1,10,4,15,3,3,23,0,0,26,1,0,0,4,1,0,7,0
1,2,0,3,0,5,14,22,3,19,2,32,57,0,1,26,0,0,1,1,0,0,3,0
1,0,5,7,0,4,0,10,4,27,20,29,36,3,1,21,0,0,8,0,7,1,5,0
0,3,0,0,0,2,0,9,49,3,0,4,50,2,2,38,3,1,0,6,1,0,0,0
3,0,0,0,0,2,1,0,43,1,0,0,36,2,2,44,4,7,0,4,0,6,0,0
0,1,0,0,0,3,0,0,41,0,0,1,28,1,4,49,4,1,0,4,0,5,0,0
0,1,0,0,6,5,0,0,39,0,0,4,31,0,0,38,1,0,0,6,0,12,0,1
0,0,0,0,0,0,0,0,34,0,2,3,22,0,0,29,1,2,0,19,0,10,0,0
0,0,0,0,0,0,0,0,33,0,0,3,17,3,1,25,0,2,0,5,0,8,0,0
0,0,0,0,0,0,0,0,31,0,0,3,14,5,0,26,1,7,0,5,0,0,6,0
0,0,0,0,0,0,0,0,31,0,5,0,13,0,1,0,21,0,6,0,0,0,8,0
0,0,0,0,0,0,0,0,35,0,6,0,13,0,0,1,23,0,5,0,0,0,10,0
0,0,0,0,0,0,0,0,53,6,0,14,1,0,3,13,25,7,0,0,0,0,10,0
