0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,3,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,15,12
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0,1,9,14,1
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,1,1,3,9,3,3,14
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,1,1,11,13,0,0,2
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,1,0,2,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,20,7,3,0,0,0,0
0,0,0,0,0,2,1,0,0,0,0,0,0,3,1,5,14,3,7,0,0,1,0,10
0,0,0,0,0,0,5,1,0,1,1,1,6,10,0,12,3,0,0,1,0,0,12,0
3,2,0,0,0,0,3,6,13,6,4,10,13,18,30,0,0,0,0,0,4,8,0,0
2,7,8,2,2,5,7,4,7,3,2,4,17,0,0,0,0,0,0,1,7,6,2,5
5,1,2,10,14,13,0,13,10,6,5,12,10,6,8,7,1,4,1,2,0,0,0,0
1,0,2,1,1,1,15,31,42,40,0,3,7,4,1,0,0,0,5,0,5,5,4,0
0,5,6,6,6,11,14,14,16,0,15,56,42,36,36,27,24,16,12,6,2,0,0,0
2,0,0,4,3,6,3,4,0,6,0,1,8,3,1,1,0,0,0,0,0,0,0,0
1,1,1,1,4,2,0,1,10,0,2,0,1,1,0,0,2,0,0,0,0,4,2,0
0,0,0,0,4,0,0,0,1,0,1,5,12,19,7,3,2,0,0,0,0,3,1,0
0,4,3,3,9,13,13,13,17,16,1,1,0,0,0,0,1,0,0,11,11,4,2,1
0,0,0,0,0,0,0,0,0,0,2,10,13,12,9,11,10,9,2,3,2,0,0,0
0,0,0,0,0,0,0,0,5,2,3,5,4,0,0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,0,1,1,1,1,1,2,6,13,5,3,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0
0,0,0,0,0,0,0,0,0,2,0,6,0,0,1,6,3,4,0,0,0,0,0,0
