0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,18,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,7,11,0
0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,0,7,9,3,3,19
0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,8,1,0,4,13,0,1,0
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,2,1,0,0,0
0,0,0,0,6,1,0,0,0,0,0,0,0,0,8,0,0,14,6,1,1,1,3,0
0,0,0,1,0,6,0,1,0,0,0,0,0,3,0,2,16,4,19,0,0,2,0,14
0,0,0,0,0,0,4,0,3,1,3,5,5,18,0,17,5,2,0,0,0,0,10,0
1,0,0,0,0,1,1,7,12,14,15,13,12,11,21,1,3,0,0,3,4,6,0,0
0,5,7,0,1,3,3,2,2,2,4,4,18,0,0,0,0,1,0,1,3,6,2,6
4,2,3,10,12,15,0,9,8,5,6,15,10,6,5,8,2,2,0,3,0,0,3,0
0,1,0,0,1,0,7,24,32,41,3,3,2,0,0,0,0,0,4,1,6,5,4,0
0,2,4,6,7,10,12,15,18,0,29,52,39,36,32,18,18,28,7,6,0,0,0,0
0,0,0,4,3,0,5,6,0,6,0,0,12,6,1,3,1,0,0,1,0,0,0,0
3,0,0,0,2,1,1,1,4,0,1,1,4,1,1,0,3,0,1,0,0,0,1,1
0,0,0,0,2,0,0,0,4,1,1,3,11,11,3,7,2,0,0,3,4,0,0,0
0,4,3,6,15,14,13,18,13,7,0,0,1,1,0,1,0,0,0,7,6,5,2,0
0,0,0,0,0,0,0,0,0,0,3,14,21,17,13,23,24,19,7,3,0,1,0,1
0,0,0,0,0,0,0,0,3,3,14,2,2,0,1,0,0,0,0,0,0,6,1,3
0,0,0,0,0,0,0,0,2,2,1,1,3,5,7,14,2,3,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1,2,14,3,1,0,0
0,0,0,0,0,0,0,0,0,10,0,9,0,0,1,11,3,4,0,0,0,0,0,0
